year,avgTemp,minTemp,maxTemp,rainFall,avgPrice
20210331,12.6,24.4,3.8,0,2509
20210330,11.7,23,2.5,0,2501
20210329,12.5,22.1,3,0,2487
20210328,11.9,22,4,4.5,2480
20210327,12.3,21.5,0.4,25.3,2358
20210326,12.7,25,1.5,0,2308
20210325,11.9,23.3,1.3,0,2327
20210324,10.4,20.6,1.7,0,2316
20210323,9.4,20.2,3.5,0,2302
20210322,6.8,14.6,4,0,2288
20210321,7.1,16,1.8,0,2164
20210320,8.9,19.1,2.2,6.2,2143
20210319,11.7,21.3,1.4,0,2100
20210318,9.9,21.1,2.9,0,2103
20210317,8.4,20.3,4.2,0,2209
20210316,11,23.4,0.9,1.7,1833
20210315,10.8,20.2,3.2,0.3,1809
20210314,8.4,18.5,3.3,0,1801
20210313,8.4,17.8,1.8,0,1801
20210312,8.6,17.4,0.3,12.9,1784
20210311,9.4,21.1,4.2,0.8,1726
20210310,7.9,19.3,4.1,0,1669
20210309,7.3,17.2,4,0,1675
20210308,6.1,16.4,8.9,0,1689
20210307,5.7,13.7,4.5,0,1735
20210306,6.1,17.5,5.5,0.4,1734
20210305,8.7,20.7,8.4,0.1,1734
20210304,5.9,14.3,3.5,4.1,1738
20210303,3.4,13.8,16.9,0,1750
20210302,2.6,13.7,12.5,2.6,1855
20210301,8,21.9,4.6,50.2,1854
20210228,7.3,17.7,10.7,0.2,1857
20210227,7.2,16.6,6.5,0.2,1713
20210226,7.6,16.2,7.3,0.7,1584
20210225,4.2,16.1,8.3,3.4,1575
20210224,3.3,15.4,11.2,0,1575
20210223,2.7,14.4,8.4,0,1580
20210222,9.8,24.1,2.5,0,1578
20210221,12.3,24.9,4.1,0,1582
20210220,9.6,21.4,4.9,0,1584
20210219,2.7,14.1,13.2,0,1587
20210218,4.2,4.6,17.4,0.1,1589
20210217,5.8,3.9,16.8,0.5,1598
20210216,1.8,10.9,12.9,1.2,1598
20210215,3.6,14.3,9.9,0.6,1598
20210214,8.4,19.3,3.5,2,1598
20210213,6.6,20.7,8.6,0,1602
20210212,6.1,18.5,6,0,1579
20210211,4.7,15.4,9,0,1575
20210210,2.8,14.4,9.1,0,1576
20210209,0,10.5,11.9,0,1576
20210208,0.7,11.1,10,0,1573
20210207,5.7,17.6,4.4,0,1574
20210206,5.5,16.7,7.7,0,1574
20210205,1.5,11,12,0,1576
20210204,0,11.9,14.4,0.8,1583
20210203,1.7,9.1,14.6,0.8,1591
20210202,2,11.2,11.5,0,1598
20210201,6.9,15.8,4,8.1,1599
20210131,3.5,14.9,15.2,0.6,1606
20210130,0.2,12.2,14.9,0.1,2509
20210129,5.3,6.7,18.3,0.1,2501
20210128,0.5,13.7,14.7,1.1,2487
20210127,3.5,13.7,6,0,2480
20210126,5.1,15.5,2.3,5.9,2358
